"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"1592","254","1514","232","93","68","1201","193","3","5","86","84","0","12","0","12","131","143","0","12","131","143","78","97","77","97","0","12","0","12","0","12","0","12","1","3","0","12","0","12","0","12","1500000US060014101002","Block Group 2, Census Tract 4101, Alameda County, California"
"1480","429","816","319","88","67","728","312","0","12","0","12","0","12","0","12","0","12","0","12","0","12","664","352","453","318","0","12","0","12","0","12","0","12","199","215","12","17","0","12","12","17","1500000US060014102001","Block Group 1, Census Tract 4102, Alameda County, California"
"1310","350","1119","355","14","16","831","332","0","12","274","279","0","12","0","12","0","12","0","12","0","12","191","158","6","11","0","12","0","12","0","12","0","12","139","147","46","60","0","12","46","60","1500000US060014102002","Block Group 2, Census Tract 4102, Alameda County, California"
"593","250","429","170","65","47","333","149","0","12","31","54","0","12","0","12","0","12","0","12","0","12","164","194","134","191","0","12","0","12","0","12","0","12","9","15","21","33","21","33","0","12","1500000US060014102003","Block Group 3, Census Tract 4102, Alameda County, California"
"534","254","334","180","91","84","166","127","15","19","38","65","0","12","0","12","24","38","0","12","24","38","200","150","89","110","0","12","0","12","0","12","0","12","111","102","0","12","0","12","0","12","1500000US060014103001","Block Group 1, Census Tract 4103, Alameda County, California"
"1283","334","545","212","76","106","328","156","0","12","74","79","59","120","0","12","8","12","0","12","8","12","738","310","516","284","0","12","7","17","0","12","0","12","215","164","0","12","0","12","0","12","1500000US060014103002","Block Group 2, Census Tract 4103, Alameda County, California"
"1829","503","906","491","20","30","800","490","17","28","17","28","0","12","5","9","47","73","0","12","47","73","923","315","465","259","0","12","14","21","0","12","0","12","444","217","0","12","0","12","0","12","1500000US060014103003","Block Group 3, Census Tract 4103, Alameda County, California"
"915","231","573","210","10","17","425","189","0","12","116","106","9","16","0","12","13","22","0","12","13","22","342","174","276","160","0","12","0","12","27","42","0","12","20","20","19","28","19","28","0","12","1500000US060014104001","Block Group 1, Census Tract 4104, Alameda County, California"
"1349","326","637","230","48","34","589","230","0","12","0","12","0","12","0","12","0","12","0","12","0","12","712","329","274","197","18","29","0","12","0","12","0","12","385","267","35","54","35","54","0","12","1500000US060014104002","Block Group 2, Census Tract 4104, Alameda County, California"
"1947","672","1044","332","163","149","461","192","0","12","288","188","0","12","103","159","29","47","0","12","29","47","903","664","450","308","0","12","0","12","0","12","0","12","423","607","30","37","9","15","21","33","1500000US060014104003","Block Group 3, Census Tract 4104, Alameda County, California"
"2415","214","2253","221","129","72","1282","210","0","12","665","265","13","19","0","12","164","103","0","12","164","103","162","103","72","102","51","48","0","12","0","12","0","12","39","42","0","12","0","12","0","12","1500000US060014105001","Block Group 1, Census Tract 4105, Alameda County, California"
"1028","174","926","180","676","181","8","13","0","12","182","81","0","12","12","20","48","32","0","12","48","32","102","71","51","41","0","12","0","12","0","12","0","12","14","16","37","45","37","45","0","12","1500000US060014201001","Block Group 1, Census Tract 4201, Alameda County, California"
"788","158","720","125","599","133","36","46","0","12","46","33","0","12","21","31","18","20","0","12","18","20","68","107","68","107","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014201002","Block Group 2, Census Tract 4201, Alameda County, California"
"593","151","549","149","443","150","0","12","0","12","56","43","0","12","20","32","30","26","0","12","30","26","44","39","22","23","0","12","0","12","22","31","0","12","0","12","0","12","0","12","0","12","1500000US060014201003","Block Group 3, Census Tract 4201, Alameda County, California"
"1218","202","1090","205","624","189","10","15","8","13","331","130","24","41","0","12","93","68","0","12","93","68","128","94","128","94","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014202001","Block Group 1, Census Tract 4202, Alameda County, California"
